Index,Sub,EDSname,Datatype,Access,Value,varname,LowLimit,UpLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,ImplementationType,Size,ObjectCode,mapable
0x140d,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x140d,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x140d,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x140e,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x140e,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x140e,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x140f,0x00,Receive PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x140f,0x01,Receive PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x140f,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,255,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1600,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1600,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644167432,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1600,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644167688,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1601,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1601,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644167944,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1601,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644168200,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1602,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1602,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644168456,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1602,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644168712,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1603,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
